id;day_date;full_date;day_number;day_name;day_name_short;is_week_day;month_number;month_name;month_name_short;trimester_number;trimester_name;semester_number;semester_name;year
19960101;01/01/1996;segunda-feira, 1 de janeiro de 1996;1;segunda-feira;seg;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960102;02/01/1996;terça-feira, 2 de janeiro de 1996;2;terça-feira;ter;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960103;03/01/1996;quarta-feira, 3 de janeiro de 1996;3;quarta-feira;qua;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960104;04/01/1996;quinta-feira, 4 de janeiro de 1996;4;quinta-feira;qui;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960105;05/01/1996;sexta-feira, 5 de janeiro de 1996;5;sexta-feira;sex;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960106;06/01/1996;sábado, 6 de janeiro de 1996;6;sábado;sab;não;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960107;07/01/1996;domingo, 7 de janeiro de 1996;7;domingo;dom;não;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960108;08/01/1996;segunda-feira, 8 de janeiro de 1996;8;segunda-feira;seg;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960109;09/01/1996;terça-feira, 9 de janeiro de 1996;9;terça-feira;ter;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960110;10/01/1996;quarta-feira, 10 de janeiro de 1996;10;quarta-feira;qua;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960111;11/01/1996;quinta-feira, 11 de janeiro de 1996;11;quinta-feira;qui;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960112;12/01/1996;sexta-feira, 12 de janeiro de 1996;12;sexta-feira;sex;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960113;13/01/1996;sábado, 13 de janeiro de 1996;13;sábado;sab;não;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960114;14/01/1996;domingo, 14 de janeiro de 1996;14;domingo;dom;não;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960115;15/01/1996;segunda-feira, 15 de janeiro de 1996;15;segunda-feira;seg;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960116;16/01/1996;terça-feira, 16 de janeiro de 1996;16;terça-feira;ter;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960117;17/01/1996;quarta-feira, 17 de janeiro de 1996;17;quarta-feira;qua;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960118;18/01/1996;quinta-feira, 18 de janeiro de 1996;18;quinta-feira;qui;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960119;19/01/1996;sexta-feira, 19 de janeiro de 1996;19;sexta-feira;sex;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960120;20/01/1996;sábado, 20 de janeiro de 1996;20;sábado;sab;não;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960121;21/01/1996;domingo, 21 de janeiro de 1996;21;domingo;dom;não;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960122;22/01/1996;segunda-feira, 22 de janeiro de 1996;22;segunda-feira;seg;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960123;23/01/1996;terça-feira, 23 de janeiro de 1996;23;terça-feira;ter;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960124;24/01/1996;quarta-feira, 24 de janeiro de 1996;24;quarta-feira;qua;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960125;25/01/1996;quinta-feira, 25 de janeiro de 1996;25;quinta-feira;qui;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960126;26/01/1996;sexta-feira, 26 de janeiro de 1996;26;sexta-feira;sex;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960127;27/01/1996;sábado, 27 de janeiro de 1996;27;sábado;sab;não;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960128;28/01/1996;domingo, 28 de janeiro de 1996;28;domingo;dom;não;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960129;29/01/1996;segunda-feira, 29 de janeiro de 1996;29;segunda-feira;seg;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960130;30/01/1996;terça-feira, 30 de janeiro de 1996;30;terça-feira;ter;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960131;31/01/1996;quarta-feira, 31 de janeiro de 1996;31;quarta-feira;qua;sim;1;janeiro;jan;1;1º Trimestre;1;1º Semestre;1996
19960201;01/02/1996;quinta-feira, 1 de fevereiro de 1996;1;quinta-feira;qui;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960202;02/02/1996;sexta-feira, 2 de fevereiro de 1996;2;sexta-feira;sex;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960203;03/02/1996;sábado, 3 de fevereiro de 1996;3;sábado;sab;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960204;04/02/1996;domingo, 4 de fevereiro de 1996;4;domingo;dom;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960205;05/02/1996;segunda-feira, 5 de fevereiro de 1996;5;segunda-feira;seg;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960206;06/02/1996;terça-feira, 6 de fevereiro de 1996;6;terça-feira;ter;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960207;07/02/1996;quarta-feira, 7 de fevereiro de 1996;7;quarta-feira;qua;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960208;08/02/1996;quinta-feira, 8 de fevereiro de 1996;8;quinta-feira;qui;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960209;09/02/1996;sexta-feira, 9 de fevereiro de 1996;9;sexta-feira;sex;sim;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
19960210;10/02/1996;sábado, 10 de fevereiro de 1996;10;sábado;sab;não;2;fevereiro;fev;1;1º Trimestre;1;1º Semestre;1996
